NAICS Codes,NAICS Industry Description,Size standards in millions of dollars,Size standards in number of employees,Footnotes
423610,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers",,200,
423620,"Household Appliances, Electric Housewares, and Consumer Electronics Merchant Wholesalers",,225,
423690,Other Electronic Parts and Equipment Merchant Wholesalers,,250,
423710,Hardware Merchant Wholesalers,,150,
423720,Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers,,200,
423730,Warm Air Heating and Air‑Conditioning Equipment and Supplies Merchant Wholesalers,,175,
423740,Refrigeration Equipment and Supplies Merchant Wholesalers,,125,
423810,Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers,,250,
423820,Farm and Garden Machinery and Equipment Merchant Wholesalers,,125,
423830,Industrial Machinery and Equipment Merchant Wholesalers,,100,
423840,Industrial Supplies Merchant Wholesalers,,125,
423850,Service Establishment Equipment and Supplies Merchant Wholesalers,,125,
423860,Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers,,175,
423910,Sporting and Recreational Goods and Supplies Merchant Wholesalers,,100,
423920,Toy and Hobby Goods and Supplies Merchant Wholesalers,,175,
423930,Recyclable Material Merchant Wholesalers,,125,
423940,"Jewelry, Watch, Precious Stone, and Precious Metal Merchant Wholesalers",,125,
423990,Other Miscellaneous Durable Goods Merchant Wholesalers,,100,
424110,Printing and Writing Paper Merchant Wholesalers,,225,
424120,Stationary and Office Supplies Merchant Wholesalers,,150,
424130,Industrial and Personal Service Paper Merchant Wholesalers,,150,
424210,Drugs and Druggists’ Sundries Merchant Wholesalers,,250,
424310,"Piece Goods, Notions, and Other Dry Goods Merchant Wholesalers",,100,
424340,Footwear Merchant Wholesalers,,200,
424350,Clothing and Clothing Accessories Merchant Wholesalers,,150,
424410,General Line Grocery Merchant Wholesalers,,250,
424420,Packaged Frozen Food Merchant Wholesalers,,200,
424430,Dairy Product (except Dried or Canned) Merchant Wholesalers,,200,
424440,Poultry and Poultry Product Merchant Wholesalers,,150,
424450,Confectionery Merchant Wholesalers,,225,
424460,Fish and Seafood Merchant Wholesalers,,100,
424470,Meat and Meat Product Merchant Wholesalers,,150,
424480,Fresh Fruit and Vegetable Merchant Wholesalers,,100,
424490,Other Grocery and Related Products Merchant Wholesalers,,250,
424510,Grain and Field Bean Merchant Wholesalers,,200,
424520,Livestock Merchant Wholesalers,,125,
424590,Other Farm Product Raw Material Merchant Wholesalers,,175,
424610,Plastics Materials and Basic Forms and Shapes Merchant Wholesalers,,150,
424690,Other Chemical and Allied Products Merchant Wholesalers,,175,
424710,Petroleum Bulk Stations and Terminals,,225,
424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),,200,
424810,Beer and Ale Merchant Wholesalers,,200,
424820,Wine and Distilled Alcoholic Beverage Merchant Wholesalers,,250,
424910,Farm Supplies Merchant Wholesalers,,200,
424920,"Book, Periodical, and Newspaper Merchant Wholesalers",,200,
424930,"Flower, Nursery Stock, and Florists’ Supplies Merchant Wholesalers",,100,
424940,Tobacco Product and Electronic Cigarette Merchant Wholesalers,,250,
424950,"Paint, Varnish, and Supplies Merchant Wholesalers",,150,
424990,Other Miscellaneous Nondurable Goods Merchant Wholesalers,,100,
425120,Wholesale Trade Agents and Brokers,,125,
,(These NAICS codes shall not be used to classify Government acquisitions for supplies.  They also shall not be used by Federal government contractors when subcontracting for the acquisition for supplies.  The applicable manufacturing NAICS code shall be used to classify acquisitions for supplies.  A Wholesale Trade or Retail Trade business concern submitting an offer or a quote on a supply acquisition is categorized as a nonmanufacturer and deemed small if it has 500 or fewer employees and meets the requirements of 13 CFR 121.406.),,,
441110,New Car Dealers,,200,
441120,Used Car Dealers,$30.50 ,,
441210,Recreational Vehicle Dealers  ,$40.00 ,,
441222,Boat Dealers,$40.00 ,,
441227,"Motorcycle, ATV, and All Other Motor Vehicle Dealers",$40.00 ,,
441330,Automotive Parts and Accessories Retailers,$28.50 ,,
441340,Tire Dealers,$25.50 ,,
444110,Home Centers,$47.00 ,,
444120,Paint and Wallpaper Retailers,$34.00 ,,
444140,Hardware Retailers,$16.50 ,,
444180,Other Building Material Dealers,$25.00 ,,
444230,Outdoor Power Equipment Retailers,$9.50 ,,
444240,"Nursery, Garden Center, and Farm Supply Retailers",$21.50 ,,
445110,Supermarkets and Other Grocery Retailers (except Convenience Retailers),$40.00 ,,
445131,Convenience Retailers,$36.50 ,,
445132,Vending Machine Operators,$21.00 ,,
445230,Fruit and Vegetable Retailers,$9.00 ,,
445240,Meat Retailers,$9.00 ,,
445250,Fish and Seafood Retailers,$9.00 ,,
445291,Baked Goods Retailers,$16.00 ,,
445292,Confectionery and Nut Retailers,$19.50 ,,
445298,All Other Specialty Food Retailers,$10.00 ,,
445320,"Beer, Wine, and Liquor Retailers",$10.00 ,,
449110,Furniture Retailers,$25.00 ,,
449121,Floor Covering Retailers,$9.00 ,,
449122,Window Treatment Retailers,$11.50 ,,
449129,All Other Home Furnishings Retailers,$33.50 ,,
449210,Electronics and Appliance Retailers,$40.00 ,,
455110,Department Stores,$40.00 ,,
455211,Warehouse Clubs and Supercenters,$47.00 ,,
455219,All Other General Merchandise Retailers,$40.00 ,,
456110,Pharmacies and Drug Retailers,$37.50 ,,
456120,"Cosmetics, Beauty Supplies, and Perfume Retailers",$34.00 ,,
456130,Optical Goods Retailers,$29.50 ,,
456191,Food (Health) Supplement Retailers,$22.50 ,,
456199,All Other Health and Personal Care Retailers,$9.50 ,,
457110,Gasoline Stations with Convenience Stores,$36.50 ,,
457120,Other Gasoline Stations,$33.50 ,,
457210,Fuel Dealers,,100,
458110,Clothing and Clothing Accessories Retailers,$47.00 ,,
458210,Shoe Retailers,$34.00 ,,
458310,Jewelry Retailers,$20.50 ,,
458320,Luggage and Leather Goods Retailers,$38.00 ,,
459110,Sporting Goods Retailers,$26.50 ,,
459120,"Hobby, Toy, and Game Retailers",$35.00 ,,
459130,"Sewing, Needlework, and Piece Goods Retailers",$34.00 ,,
459140,Musical Instrument and Supplies Retailers,$22.50 ,,
459210,Book Retailers and News Dealers,$36.00 ,,
459310,Florists,$9.00 ,,
459410,Office Supplies and Stationery Retailers,$40.00 ,,
459420,"Gift, Novelty, and Souvenir Retailers",$13.50 ,,
459510,Used Merchandise Retailers,$14.00 ,,
459910,Pet and Pet Supplies Retailers,$32.00 ,,
459920,Art Dealers,$16.50 ,,
459930,Manufactured (Mobile) Home Dealers,$19.00 ,,
459991,"Tobacco, Electronic Cigarette, and Other Smoking Supplies Retailers",$11.50 ,,
459999,All Other Miscellaneous Retailers,$11.50 ,,
481111,Scheduled Passenger Air Transportation,,"1,500",
481112,Scheduled Freight Air Transportation,,"1,500",
481211,Nonscheduled Chartered Passenger Air Transportation,,"1,500",
481212,Nonscheduled Chartered Freight Air Transportation  ,,"1,500",
481219,Other Nonscheduled Air Transportation,$25.00 ,,
482111,Line‑Haul Railroads,,"1,500",
482112,Short Line Railroads,,"1,500",
483111,Deep Sea Freight Transportation,,"1,050",
483112,Deep Sea Passenger Transportation,,"1,500",
483113,Coastal and Great Lakes Freight Transportation,,800,
483114,Coastal and Great Lakes Passenger Transportation,,550,
483211,Inland Water Freight Transportation,,"1,050",
483212,Inland Water Passenger Transportation,,550,
484110,"General Freight Trucking, Local",$34.00 ,,
484121,"General Freight Trucking, Long‑Distance, Truckload  ",$34.00 ,,
484122,"General Freight Trucking, Long‑Distance, Less Than Truckload",$43.00 ,,
484210,Used Household and Office Goods Moving,$34.00 ,,
484220,"Specialized Freight (except Used Goods) Trucking, Local",$34.00 ,,
484230,"Specialized Freight (except Used Goods) Trucking, Long‑Distance",$34.00 ,,
485111,Mixed Mode Transit Systems,$29.00 ,,
485112,Commuter Rail Systems,$47.00 ,,
485113,Bus and Other Motor Vehicle Transit Systems,$32.50 ,,
485119,Other Urban Transit Systems,$37.50 ,,
485210,Interurban and Rural Bus Transportation,$32.00 ,,
485310,Taxi and Ridesharing Services,$19.00 ,,
485320,Limousine Service,$19.00 ,,
485410,School and Employee Bus Transportation,$30.00 ,,
485510,Charter Bus Industry,$19.00 ,,
485991,Special Needs Transportation,$19.00 ,,
485999,All Other Transit and Ground Passenger Transportation,$19.00 ,,
486110,Pipeline Transportation of Crude Oil,,"1,500",
486210,Pipeline Transportation of Natural Gas,$41.50 ,,
486910,Pipeline Transportation of Refined Petroleum Products,,"1,500",
486990,All Other Pipeline Transportation,$46.00 ,,
487110,"Scenic and Sightseeing Transportation, Land",$20.50 ,,
487210,"Scenic and Sightseeing Transportation, Water",$14.00 ,,
487990,"Scenic and Sightseeing Transportation, Other",$25.00 ,,
488111,Air Traffic Control,$40.00 ,,
488119,Other Airport Operations,$40.00 ,,
488190,Other Support Activities for Air Transportation,$40.00 ,,
488210,Support Activities for Rail Transportation,$34.00 ,,
488310,Port and Harbor Operations,$47.00 ,,
488320,Marine Cargo Handling,$47.00 ,,
488330,Navigational Services to Shipping,$47.00 ,,
488390,Other Support Activities for Water Transportation,$47.00 ,,
488410,Motor Vehicle Towing,$9.00 ,,
488490,Other Support Activities for Road Transportation,$18.00 ,,
488510,Freight Transportation Arrangement10,$20.00 ,,See footnote 10
488510 (Exception),Non‑Vessel Owning Common Carriers and Household Goods Forwarders,$34.00 ,,
488991,Packing and Crating,$34.00 ,,
488999,All Other Support Activities for Transportation,$25.00 ,,
491110,Postal Service,$9.00 ,,
492110,Couriers and Express Delivery Services,,"1,500",
492210,Local Messengers and Local Delivery,$34.00 ,,
493110,General Warehousing and Storage,$34.00 ,,
493120,Refrigerated Warehousing and Storage,$36.50 ,,
493130,Farm Product Warehousing and Storage,$34.00 ,,
493190,Other Warehousing and Storage,$36.50 ,,
512110,Motion Picture and Video Production,$40.00 ,,
512120,Motion Picture and Video Distribution,$39.00 ,,
512131,Motion Picture Theaters (except Drive‑Ins),$47.00 ,,
512132,Drive‑In Motion Picture Theaters,$12.50 ,,
512191,Teleproduction and Other Postproduction Services,$39.00 ,,
512199,Other Motion Picture and Video Industries,$28.50 ,,
512230,Music Publishers,,900,
512240,Sound Recording Studios,$11.00 ,,
512250,Record Production and Distribution,,900,
512290,Other Sound Recording Industries,$22.50 ,,
513110,Newspaper Publishers,,"1,000",
513120,Periodical Publishers,,"1,000",
513130,Book Publishers,,"1,000",
513140,Directory and Mailing List Publishers,,"1,000",
513191,Greeting Card Publishers,,"1,000",
513199,All Other Publishers,,"1,000",
513210,Software Publishers15,$47.00 ,,
516110,Radio Broadcasting Stations,$47.00 ,,
516120,Television Broadcasting Stations,$47.00 ,,
516210,"Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",$47.00 ,,
517111,Wired Telecommunications Carriers,,"1,500",
517112,Wireless Telecommunications Carriers (except Satellite),,"1,500",
517121,Telecommunications Resellers,,"1,500",
517122,Agents for Wireless Telecommunications Services,,"1,500",
517410,Satellite Telecommunications,$44.00 ,,
517810,All Other Telecommunications,$40.00 ,,
518210,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",$40.00 ,,
519210,Libraries and Archives,$21.00 ,,
519290,Web Search Portals and All Other Information Services,,"1,000",
522110,Commercial Banking8,$850 million in assets,,See footnote 8
522130,Credit Unions8,$850 million in assets,,See footnote 8
522180,Savings Institutions and Other Depository Credit Intermediation8,$850 million in assets,,See footnote 8
522210,Credit Card Issuing8,$850 million in assets,,See footnote 8
522220,Sales Financing,$47.00 ,,
522291,Consumer Lending,$47.00 ,,
522292,Real Estate Credit,$47.00 ,,
522299,"International, Secondary Market, and All Other Nondepository Credit Intermediation",$47.00 ,,
522310,Mortgage and Nonmortgage Loan Brokers,$15.00 ,,
522320,"Financial Transactions Processing, Reserve, and Clearinghouse Activities",$47.00 ,,
522390,Other Activities Related to Credit Intermediation,$28.50 ,,
523150,Investment Banking and Securities Intermediation,$47.00 ,,
523160,Commodity Contracts Intermediation,$47.00 ,,
523210,Securities and Commodity Exchanges,$47.00 ,,
523910,Miscellaneous Intermediation,$47.00 ,,
523940,Portfolio Management and Investment Advice,$47.00 ,,
523991,"Trust, Fiduciary and Custody Activities",$47.00 ,,
523999,Miscellaneous Financial Investment Activities,$47.00 ,,
524113,Direct Life Insurance Carriers,$47.00 ,,
524114,Direct Health and Medical Insurance Carriers,$47.00 ,,
524126,Direct Property and Casualty Insurance Carriers,,"1,500",
524127,Direct Title Insurance Carriers,$47.00 ,,
524128,"Other Direct Insurance (except Life, Health and Medical) Carriers",$47.00 ,,
524130,Reinsurance Carriers,$47.00 ,,
524210,Insurance Agencies and Brokerages,$15.00 ,,
524291,Claims Adjusting,$25.00 ,,
524292,Pharmacy Benefit Management and Other Third-Party Administration of Insurance and Pension Funds,$45.50 ,,
524298,All Other Insurance Related Activities,$30.50 ,,
525110,Pension Funds,$40.00 ,,
525120,Health and Welfare Funds,$40.00 ,,
525190,Other Insurance Funds,$40.00 ,,
525910,Open‑End Investment Funds,$40.00 ,,
525920,"Trusts, Estates, and Agency Accounts",$40.00 ,,
525990,Other Financial Vehicles,$40.00 ,,
531110,Lessors of Residential Buildings and Dwellings9,$34.00 ,,See footnote 9
531110 (Exception),Leasing of Building Space to the Federal Government by Owners,$47.00 ,,
531120,Lessors of Nonresidential Buildings (except Miniwarehouses)9,$34.00 ,,See footnote 9
531120 (Exception),Leasing of Building Space to the Federal Government by Owners,$47.00 ,,
531130,Lessors of Miniwarehouses and Self Storage Units9,$34.00 ,,See footnote 9
531130 (Exception),Leasing of Building Space to the Federal Government by Owners,$47.00 ,,
531190,Lessors of Other Real Estate Property9,$34.00 ,,See footnote 9
531190 (Exception),Leasing of Building Space to the Federal Government by Owners,$47.00 ,,
531210,Offices of Real Estate Agents and Brokers10,$15.00 ,,See footnote 10
531311,Residential Property Managers,$12.50 ,,
531312,Nonresidential Property Managers,$19.50 ,,
531320,Offices of Real Estate Appraisers,$9.50 ,,
531390,Other Activities Related to Real Estate,$19.50 ,,
532111,Passenger Car Rental,$47.00 ,,
532112,Passenger Car Leasing,$47.00 ,,
532120,"Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasing",$47.00 ,,
532210,Consumer Electronics and Appliances Rental,$47.00 ,,
532281,Formal Wear and Costume Rental,$25.00 ,,
532282,Video Tape and Disc Rental,$35.00 ,,
532283,Home Health Equipment Rental,$41.00 ,,
532284,Recreational Goods Rental,$9.00 ,,
532289,All Other Consumer Goods Rental,$12.50 ,,
532310,General Rental Centers,$9.00 ,,
532411,"Commercial Air, Rail, and Water Transportation Equipment Rental and Leasing",$45.50 ,,
532412,"Construction, Mining and Forestry Machinery and Equipment Rental and Leasing",$40.00 ,,
532420,Office Machinery and Equipment Rental and Leasing,$40.00 ,,
532490,Other Commercial and Industrial Machinery and Equipment Rental and Leasing,$40.00 ,,
533110,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),$47.00 ,,
541110,Offices of Lawyers,$15.50 ,,
541191,Title Abstract and Settlement Offices,$19.50 ,,
541199,All Other Legal Services,$20.50 ,,
541211,Offices of Certified Public Accountants,$26.50 ,,
541213,Tax Preparation Services,$25.00 ,,
541214,Payroll Services,$39.00 ,,
541219,Other Accounting Services,$25.00 ,,
541310,Architectural Services,$12.50 ,,
541320,Landscape Architectural Services,$9.00 ,,
541330,Engineering Services,$25.50 ,,
541330 (Exception 1),Military and Aerospace Equipment and Military Weapons,$47.00 ,,
541330 (Exception 2),Contracts and Subcontracts for Engineering Services Awarded Under the National Energy Policy Act of 1992,$47.00 ,,
541330 (Exception 3),Marine Engineering and Naval Architecture,$47.00 ,,
541340,Drafting Services,$9.00 ,,
541350,Building Inspection Services,$11.50 ,,
541360,Geophysical Surveying and Mapping Services,$28.50 ,,
541370,Surveying and Mapping (except Geophysical) Services,$19.00 ,,
541380,Testing Laboratories and Services,$19.00 ,,
541410,Interior Design Services,$9.00 ,,
541420,Industrial Design Services,$17.00 ,,
541430,Graphic Design Services,$9.00 ,,
541490,Other Specialized Design Services,$13.50 ,,
541511,Custom Computer Programming Services,$34.00 ,,
541512,Computer Systems Design Services,$34.00 ,,
541513,Computer Facilities Management Services,$37.00 ,,
541519,Other Computer Related Services,$34.00 ,,
541519 (Exception),Information Technology Value Added Resellers18,,150,See footnote 18
541611,Administrative Management and General Management Consulting Services,$24.50 ,,
541612,Human Resources Consulting Services,$29.00 ,,
541613,Marketing Consulting Services,$19.00 ,,
541614,"Process, Physical Distribution and Logistics Consulting Services",$20.00 ,,
541618,Other Management Consulting Services,$19.00 ,,
541620,Environmental Consulting Services,$19.00 ,,
541690,Other Scientific and Technical Consulting Services  ,$19.00 ,,
541713,Research and Development in Nanotechnology11,,"1,000",See footnote 11
541714,Research and Development in Biotechnology (except Nanobiotechnology)11,,"1,000",See footnote 11
541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology) 11",,"1,000",See footnote 11
541715 (Exception 1),"Aircraft, Aircraft Engine and Engine Parts11",,"1,500",See footnote 11
541715 (Exception 2),Other Aircraft Parts and Auxiliary Equipment11,,"1,250",See footnote 11
541715 (Exception 3),"Guided Missiles and Space Vehicles, Their Propulsion Units and Propulsion Parts11",,"1,300",See footnote 11
541720,Research and Development in the Social Sciences and Humanities,$28.00 ,,
541810,Advertising Agencies10,$25.50 ,,See footnote 10
541820,Public Relations Agencies,$19.00 ,,
541830,Media Buying Agencies,$32.50 ,,
541840,Media Representatives,$21.00 ,,
541850,Indoor and Outdoor Display Advertising,$34.50 ,,
541860,Direct Mail Advertising,$22.00 ,,
541870,Advertising Material Distribution Services,$28.50 ,,
541890,Other Services Related to Advertising,$19.00 ,,
541910,Marketing Research and Public Opinion Polling,$22.50 ,,
541921,"Photography Studios, Portrait",$16.00 ,,
541922,Commercial Photography,$9.00 ,,
541930,Translation and Interpretation Services,$22.50 ,,
541940,Veterinary Services,$10.00 ,,
541990,"All Other Professional, Scientific and Technical Services",$19.50 ,,
551111,Offices of Bank Holding Companies,$38.50 ,,
551112,Offices of Other Holding Companies,$45.50 ,,
561110,Office Administrative Services,$12.50 ,,
561210,Facilities Support Services12,$47.00 ,,See footnote 12
561311,Employment Placement Agencies,$34.00 ,,
561312,Executive Search Services,$34.00 ,,
561320,Temporary Help Services,$34.00 ,,
561330,Professional Employer Organizations,$41.50 ,,
561410,Document Preparation Services,$19.00 ,,
561421,Telephone Answering Services,$19.00 ,,
561422,Telemarketing Bureaus and Other contact Centers,$25.50 ,,
561431,Private Mail Centers,$19.00 ,,
561439,Other Business Service Centers (including Copy Shops),$26.50 ,,
561440,Collection Agencies,$19.50 ,,
561450,Credit Bureaus,$41.00 ,,
561491,Repossession Services,$19.00 ,,
561492,Court Reporting and Stenotype Services,$19.00 ,,
561499,All Other Business Support Services,$21.50 ,,
561510,Travel Agencies10,$25.00 ,,See footnote 10
561520,Tour Operators10,$25.00 ,,See footnote 10
561591,Convention and Visitors Bureaus,$25.00 ,,
561599,All Other Travel Arrangement and Reservation Services,$32.50 ,,
561611,Investigation and Personal Background Check Services,$25.00 ,,
561612,Security Guards and Patrol Services,$29.00 ,,
561613,Armored Car Services,$43.00 ,,
561621,Security Systems Services (except Locksmiths),$25.00 ,,
561622,Locksmiths,$25.00 ,,
561710,Exterminating and Pest Control Services,$17.50 ,,
561720,Janitorial Services,$22.00 ,,
561730,Landscaping Services,$9.50 ,,
561740,Carpet and Upholstery Cleaning Services,$8.50 ,,
561790,Other Services to Buildings and Dwellings  ,$9.00 ,,
561910,Packaging and Labeling Services,$19.50 ,,
561920,Convention and Trade Show Organizers10,$20.00 ,,See footnote 10
561990,All Other Support Services,$16.50 ,,
562111,Solid Waste Collection,$47.00 ,,
562112,Hazardous Waste Collection,$47.00 ,,
562119,Other Waste Collection,$47.00 ,,
562211,Hazardous Waste Treatment and Disposal,$47.00 ,,
562212,Solid Waste Landfill,$47.00 ,,
562213,Solid Waste Combustors and Incinerators,$47.00 ,,
562219,Other Nonhazardous Waste Treatment and Disposal  ,$47.00 ,,
562910,Remediation Services,$25.00 ,,
562910 (Exception),Environmental Remediation Services14,,"1,000",See footnote 14
562920,Materials Recovery Facilities,$25.00 ,,
562991,Septic Tank and Related Services,$9.00 ,,
562998,All Other Miscellaneous Waste Management Services,$16.50 ,,
611110,Elementary and Secondary Schools,$20.00 ,,
611210,Junior Colleges,$32.50 ,,
611310,"Colleges, Universities and Professional Schools",$34.50 ,,
611410,Business and Secretarial Schools,$20.50 ,,
611420,Computer Training,$16.00 ,,
611430,Professional and Management Development Training,$15.00 ,,
611511,Cosmetology and Barber Schools,$13.00 ,,
611512,Flight Training,$34.00 ,,
611513,Apprenticeship Training,$11.50 ,,
611519,Other Technical and Trade Schools,$21.00 ,,
611519 (Exception),Job Corps Centers16,$47.00 ,,See footnote 16
611610,Fine Arts Schools,$9.00 ,,
611620,Sports and Recreation Instruction,$9.00 ,,
611630,Language Schools,$20.50 ,,
611691,Exam Preparation and Tutoring,$12.50 ,,
611692,Automobile Driving Schools,$10.00 ,,
611699,All Other Miscellaneous Schools and Instruction,$16.50 ,,
611710,Educational Support Services,$24.00 ,,
621111,Offices of Physicians (except Mental Health Specialists),$16.00 ,,
621112,"Offices of Physicians, Mental Health Specialists",$13.50 ,,
621210,Offices of Dentists,$9.00 ,,
621310,Offices of Chiropractors,$9.00 ,,
621320,Offices of Optometrists,$9.00 ,,
621330,Offices of Mental Health Practitioners (except Physicians),$9.00 ,,
621340,"Offices of Physical, Occupational and Speech Therapists and Audiologists",$12.50 ,,
621391,Offices of Podiatrists,$9.00 ,,
621399,Offices of All Other Miscellaneous Health Practitioners,$10.00 ,,
621410,Family Planning Centers,$19.00 ,,
621420,Outpatient Mental Health and Substance Abuse Centers,$19.00 ,,
621491,HMO Medical Centers,$44.50 ,,
621492,Kidney Dialysis Centers,$47.00 ,,
621493,Freestanding Ambulatory Surgical and Emergency Centers,$19.00 ,,
621498,All Other Outpatient Care Centers,$25.50 ,,
621511,Medical Laboratories,$41.50 ,,
621512,Diagnostic Imaging Centers,$19.00 ,,
621610,Home Health Care Services,$19.00 ,,
621910,Ambulance Services,$22.50 ,,
621991,Blood and Organ Banks,$40.00 ,,
621999,All Other Miscellaneous Ambulatory Health Care Services,$20.50 ,,
622110,General Medical and Surgical Hospitals,$47.00 ,,
622210,Psychiatric and Substance Abuse Hospitals,$47.00 ,,
622310,Specialty (except Psychiatric and Substance Abuse) Hospitals,$47.00 ,,
623110,Nursing Care Facilities (Skilled Nursing Facilities),$34.00 ,,
623210,Residential Intellectual and Developmental Disability Facilities,$19.00 ,,
623220,Residential Mental Health and Substance Abuse Facilities,$19.00 ,,
623311,Continuing Care Retirement Communities,$34.00 ,,
623312,Assisted Living Facilities for the Elderly,$23.50 ,,
623990,Other Residential Care Facilities,$16.00 ,,
624110,Child and Youth Services,$15.50 ,,
624120,Services for the Elderly and Persons with Disabilities,$15.00 ,,
624190,Other Individual and Family Services,$16.00 ,,
624210,Community Food Services,$19.50 ,,
624221,Temporary Shelters,$13.50 ,,
624229,Other Community Housing Services,$19.00 ,,
624230,Emergency and Other Relief Services,$41.50 ,,
624310,Vocational Rehabilitation Services,$15.00 ,,
624410,Child Care Services,$9.50 ,,
711110,Theater Companies and Dinner Theaters,$25.00 ,,
711120,Dance Companies,$18.00 ,,
711130,Musical Groups and Artists,$15.00 ,,
711190,Other Performing Arts Companies,$34.00 ,,
711211,Sports Teams and Clubs,$47.00 ,,
711212,Race Tracks,$47.00 ,,
711219,Other Spectator Sports,$16.50 ,,
711310,"Promoters of Performing Arts, Sports and Similar Events with Facilities",$40.00 ,,
711320,"Promoters of Performing Arts, Sports and Similar Events without Facilities",$22.00 ,,
711410,"Agents and Managers for Artists, Athletes, Entertainers and Other Public Figures",$17.50 ,,
711510,"Independent Artists, Writers, and Performers",$9.00 ,,
712110,Museums,$34.00 ,,
712120,Historical Sites,$13.00 ,,
712130,Zoos and Botanical Gardens,$34.00 ,,
712190,Nature Parks and Other Similar Institutions  ,$19.50 ,,
713110,Amusement and Theme Parks,$47.00 ,,
713120,Amusement Arcades,$9.00 ,,
713210,Casinos (except Casino Hotels),$34.00 ,,
713290,Other Gambling Industries,$40.00 ,,
713910,Golf Courses and Country Clubs,$19.00 ,,
713920,Skiing Facilities,$35.00 ,,
713930,Marinas,$11.00 ,,
713940,Fitness and Recreational Sports Centers,$17.50 ,,
713950,Bowling Centers,$12.50 ,,
713990,All Other Amusement and Recreation Industries,$9.00 ,,
721110,Hotels (except Casino Hotels) and Motels,$40.00 ,,
721120,Casino Hotels,$40.00 ,,
721191,Bed‑and‑Breakfast Inns,$9.00 ,,
721199,All Other Traveler Accommodation,$9.00 ,,
721211,RV (Recreational Vehicle) Parks and Campgrounds  ,$10.00 ,,
721214,Recreational and Vacation Camps (except Campgrounds),$9.00 ,,
721310,"Rooming and Boarding Houses, Dormitories, and Workers’ Camps",$14.00 ,,
722310,Food Service Contractors,$47.00 ,,
722320,Caterers,$9.00 ,,
722330,Mobile Food Services,$9.00 ,,
722410,Drinking Places (Alcoholic Beverages),$9.00 ,,
722511,Full-Service Restaurants,$11.50 ,,
722513,Limited-Service Restaurants,$13.50 ,,
722514,"Cafeterias, Grill Buffets, and Buffets",$34.00 ,,
722515,Snack and Nonalcoholic Beverage Bars,$22.50 ,,
811111,General Automotive Repair,$9.00 ,,
811114,Specialized Automotive Repair,$9.00 ,,
811121,"Automotive Body, Paint and Interior Repair and Maintenance",$9.00 ,,
811122,Automotive Glass Replacement Shops,$17.50 ,,
811191,Automotive Oil Change and Lubrication Shops  ,$11.00 ,,
811192,Car Washes,$9.00 ,,
811198,All Other Automotive Repair and Maintenance,$10.00 ,,
811210,Electronic and Precision Equipment Repair and Maintenance,$34.00 ,,
811310,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance,$12.50 ,,
811411,Home and Garden Equipment Repair and Maintenance,$9.00 ,,
811412,Appliance Repair and Maintenance,$19.00 ,,
811420,Reupholstery and Furniture Repair,$9.00 ,,
811430,Footwear and Leather Goods Repair,$9.00 ,,
811490,Other Personal and Household Goods Repair and Maintenance,$9.00 ,,
812111,Barber Shops,$9.50 ,,
812112,Beauty Salons,$9.50 ,,
812113,Nail Salons,$9.00 ,,
812191,Diet and Weight Reducing Centers,$27.50 ,,
812199,Other Personal Care Services,$9.00 ,,
812210,Funeral Homes and Funeral Services,$12.50 ,,
812220,Cemeteries and Crematories,$25.00 ,,
812310,Coin‑Operated Laundries and Drycleaners,$13.00 ,,
812320,Drycleaning and Laundry Services (except Coin‑Operated),$8.00 ,,
812331,Linen Supply,$40.00 ,,
812332,Industrial Launderers,$47.00 ,,
812910,Pet Care (except Veterinary) Services,$9.00 ,,
812921,Photofinishing Laboratories (except One‑Hour),$29.50 ,,
812922,One‑Hour Photofinishing,$19.00 ,,
812930,Parking Lots and Garages,$47.00 ,,
812990,All Other Personal Services,$15.00 ,,
813110,Religious Organizations,$13.00 ,,
813211,Grantmaking Foundations,$40.00 ,,
813212,Voluntary Health Organizations,$34.00 ,,
813219,Other Grantmaking and Giving Services,$47.00 ,,
813311,Human Rights Organizations,$34.00 ,,
813312,"Environment, Conservation and Wildlife Organizations",$19.50 ,,
813319,Other Social Advocacy Organizations,$18.00 ,,
813410,Civic and Social Organizations,$9.50 ,,
813910,Business Associations,$15.50 ,,
813920,Professional Organizations,$23.50 ,,
813930,Labor Unions and Similar Labor Organizations ,$16.50 ,,
813940,Political Organizations,$14.00 ,,
813990,"Other Similar Organizations (except Business, Professional, Labor, and Political Organizations) ",$13.50 ,,
