"PAN, Solicitation, or Contract Number
","If Follow-on, Provide Current Contract Number",Description of Requirement ,Consolidation Anticipated?,Bundling Anticipated?,Forecasted contract value,Forecasted_PSC,Anticipated NAICS ,"Anticipated Type of Set Aside 
or Unknown",PROCACT,"Indefinite Delivery Vehicle Type (for task/delivery orders) 
or Unknown","Anticipated Contract Type 
or Unknown",Anticipated Solicitation Date,Anticipated Solicitation Closing Date,Forecasted Award Date,Period of Performance,Contracting Office,Contracting Office,Requiring Activity Office ,Assigned Small Business Office ,Assigned Small Business Office Email
W15QKN-25-F-0026,,Sig Primed Case LAT,No,No,< $25K,1305,332992,,DO,,Firm Fixed Price,,,12/27/2024,12,ACC CTRS,ACC-NJ,JPEO AA,ACC OSBP - NJ,usarmy.pica.acc.mbx.acc-nj-sbo@army.mil
W519TC-25-Q-REDD,,CAAA FY25 Shredding ,No,No,$25K to $250K,R614,,,CONTR,,Firm Fixed Price,11/22/2024,12/13/2024,12/2/2024,60,ACC CTRS,ACC-RI,AMC: JMC,ACC OSBP - RI,USARMY.RIA.ASC.LIST.SB@ARMY.MIL
W911SR-25-F-DO02,,DO 0002 NBCRV SSU CS 2.1 Production ,,,$5M to $10M,1040,,,DO,,Firm Fixed Price,12/10/2024,,3/31/2025,12,ACC CTRS,ACC-APG,JPEO CBRND,ACC OSBP - APG,https://osbp.apg.army.mil
W15QKN-25-Q-A021,,MA022 Refuse & Recycling Services PR#12191042,,,$25K to $250K,S205,,,CONTR,,Firm Fixed Price,12/6/2024,12/12/2024,12/4/2024,12,ACC CTRS,ACC-NJ,USARC,ACC OSBP - NJ,usarmy.pica.acc.mbx.acc-nj-sbo@army.mil
PAN410-25-P-0000 000054,,Force Protection Personnel Training,No,No,$1M to $5M,U014,611430,,CONTR,,Firm Fixed Price,1/2/2025,2/3/2025,3/3/2025,60,ACC OO,410TH CSB,INSCOM,ACC OSBP - OO,usarmy.redstone.acc.mbx.acc-sb@army.mil
PANDTA-25-P-0000 003474,,"EH4C0833EH Power Unit, Diesel",,,< $25K,2815,,,PO,,Firm Fixed Price,,,5/14/2025,TBD,ACC CTRS,ACC-DTA,AMC: TACOM,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
PANNWJ-25-P-0000 000309,,WV046 Parkersburg - GRDS - PR 12180031,,,$25K to $250K,S208,,,,,,,,4/30/2025,12,ACC CTRS,ACC-NJ,USARC,ACC OSBP - NJ,usarmy.pica.acc.mbx.acc-nj-sbo@army.mil
W912CH-25-Q-0010,,"EH4C1080EH 014292389 GRIP ASSEMBLY,CONTR",,,$25K to $250K,1290,,,CONTR,,Firm Fixed Price,1/10/2025,2/28/2025,2/19/2025,TBD,ACC CTRS,ACC-DTA,AMC: TACOM,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
W911RZ-25-F-0008,,CONG Laundry TO OPT YR 2,,,< $25K,S209,,,DO,,Firm Fixed Price,,,,9,MICC,418TH CSB,USPFO CO,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PANAPG-23-P-0000 009109,,Inc 2 GD Sole Source ,No,No,< $25K,N/A,,,,,,,,6/26/2025,60,ACC CTRS,ACC-APG,AMC: CECOM,ACC OSBP - APG,https://osbp.apg.army.mil
W911QX-25-Q-0026,,"GRANTA Software / ANSYS, Inc",,,$25K to $250K,7B20,,,CONTR,,Firm Fixed Price,11/29/2024,12/6/2024,1/1/2025,12,ACC CTRS,ACC-APG,AFC: CCDC,ACC OSBP - APG,https://osbp.apg.army.mil
W912NW-25-Q-0020,,Scanning Electron Microscope maintenance,No,No,$25K to $250K,J036,811210,,CONTR,,Firm Fixed Price,11/25/2024,11/26/2024,,60,ACC CTRS,ACC-RSA,AMC: AMCOM,ACC OSBP - AMCOM,https://www.amcom.army.mil/
PANMCC-25-P-0000 004091,W9124922D0010,C-CDID Cyber BY Contract TO_22 APR 2025 ,,,$5M to $10M,R425,,,DO,IDC,Firm Fixed Price,1/30/2025,3/4/2025,5/1/2025,12,MICC,FDO EUSTIS,AFC: FCC,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PANMCC-24-P-0000 015532,,FY 25 SWIMMING POOL SERVICE AND MAINT & (Bldgs. 21,,,$250K to $1M,Z1AZ,,,PO,,Firm Fixed Price,11/1/2024,12/2/2024,5/8/2025,12,MICC,419TH CSB,AMC: IMCOM,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PANROC-25-P-0000 001374,,GCSS Army Oracle Database Tuning,,,$250K to $1M,7C20,,,CONTR,,Cost Plus Fixed Fee,12/3/2024,12/10/2024,11/29/2024,36,ACC CTRS,ACC-RI,PEO ENTERPRISE,ACC OSBP - RI,USARMY.RIA.ASC.LIST.SB@ARMY.MIL
PANMCC-24-P-0000 024259,W9124C22C0004,FY 25 ATC Enhanced Separate and Secure Maintenance,,,$5M to $10M,J063,,8(A) SOLE SOURCE ,CONTR,,Firm Fixed Price,1/6/2025,2/6/2025,12/2/2024,60,MICC,419TH CSB,TRADOC,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
W912CH-25-F-0071,,"EH5S0066EH FAN, CENTRIFUGAL",,,$25K to $250K,4140,,,DO,,Firm Fixed Price,11/13/2024,,12/6/2024,TBD,ACC CTRS,ACC-DTA,AMC: TACOM,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
PANNWJ-25-P-0000 002394,,Modification to W15QKN24F0303,,,< $25K,1005,,,,,,,,11/29/2024,12,ACC CTRS,ACC-NJ,PEO SOLDIER,ACC OSBP - NJ,usarmy.pica.acc.mbx.acc-nj-sbo@army.mil
PANRSA-25-P-0000 000320,,CPI Klystrons,,,$1M to $5M,1336,,,,,,,,2/3/2025,TBD,ACC CTRS,ACC-RSA,AMC: AMCOM,ACC OSBP - AMCOM,https://www.amcom.army.mil/
W91QF0-25-Q-7000,W91QF022P0012,DES Electronic Security System Maintenan,,,$1M to $5M,J063,,NO SET ASIDE USED.,PO,,Firm Fixed Price,1/13/2025,2/14/2025,4/3/2025,60,MICC,FDO EUSTIS,AMC: IMCOM,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
W911W4-05-D-0004 0007,,BEAE SYSTEMS,,,$1M to $5M,N/A,,,DO NEG,,Cost Plus Fixed Fee,,,,1,ACC CTRS,ACC-DTA,INSCOM,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
PANMCC-25-P-0000 009071,,RTOP 25-143 German-Crawen,,,$25K to $250K,N/A,,,DO,,Time and Materials,,,1/3/2025,12,MICC,FDO EUSTIS,TRADOC,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PANMCC-25-P-0000 009122,,12220508 PPE ACCESSORIES D/O off W911S723D0014,,,$25K to $250K,4240,,,DO,,Firm Fixed Price,,,12/20/2024,TBD,MICC,FDO EUSTIS,TRADOC,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PAN409-25-P-0000 000455,,AFRICOM - CCDR's mess ovens,,,$25K to $250K,4430,,,CONTR,,Firm Fixed Price,11/8/2024,11/29/2024,,TBD,ACC OO,409TH CSB,USAFRICOM,ACC OSBP - OO,usarmy.redstone.acc.mbx.acc-sb@army.mil
W15P7T-25-R-0012,W52P1J20C0014,APG DCoE MET Depot and Engineering Services,No,No,≥ $250M,L058,541330,NO SET ASIDE USED.,BPA,,Cost Plus Fixed Fee,12/17/2024,1/13/2025,4/21/2025,60,ACC CTRS,ACC-APG,PEO C3T,ACC OSBP - APG,https://osbp.apg.army.mil
PANMCC-24-P-0000 009639,,OCLC Group Services - FY25,,,$250K to $1M,7H20,,,CONTR,,Firm Fixed Price,1/6/2025,1/6/2025,7/1/2025,12,MICC,FDO EUSTIS,TRADOC,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
W9124D-25-R-0031,,NP25-002 EnduraData Cloud SW Req,,,$250K to $1M,7B22,,,DO,,Firm Fixed Price,1/10/2025,1/23/2025,1/31/2025,12,MICC,FDO FSH,HRC,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
W58RGZ-25-F-0082,,Saudi MNG MFD O&R,,,< $25K,J016,,,DO,,Firm Fixed Price,11/5/2024,,11/29/2024,12,ACC CTRS,ACC-RSA,PEO AVIATION,ACC OSBP - AMCOM,https://www.amcom.army.mil/
PANROC-24-P-0000 007061,W52P1J11C0012,RFAAP FY27 Competition,,,< $25K,1376,,,CONTR,,Firm Fixed Price,6/30/2025,,11/30/2026,240,ACC CTRS,ACC-RI,JPEO AA,ACC OSBP - RI,USARMY.RIA.ASC.LIST.SB@ARMY.MIL
PANMCC-25-P-0000 005921,W91QF420D0004,Custodial CAC B52 Porter FY25,,,< $25K,S201,,,DO,,Firm Fixed Price,11/6/2024,,,12,MICC,FDO EUSTIS,TRADOC,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PANRSA-25-P-0000 001478,,"M-RFI IDIQ, Update Section F Australia and Kuwait",,,$50M to $100M,J016,,,,,,,,11/29/2024,12,ACC CTRS,ACC-RSA,PEO AVIATION,ACC OSBP - AMCOM,https://www.amcom.army.mil/
W912CH-24-R-0165,,ABV LDCS: Follow-On 6 Yr. Production (Qty 119),,,$25M to $50M,2590,,,CONTR,,Firm Fixed Price,,,9/30/2025,72,ACC CTRS,ACC-DTA,PEO CS AND CSS,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
PANDTA-25-P-0000 003329,,0028 GCIA Nexus Scope,,,$1M to $5M,N/A,,,,,,,,12/5/2024,12,ACC CTRS,ACC-DTA,AFC: CCDC,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
PANAPG-24-P-0000 018855,W56KGY16D0006,16024 | PSDS2 (IDIQ),,,$5M to $10M,N/A,,,DO NEG,IDC,Cost Plus Fixed Fee,5/2/2025,6/2/2025,9/30/2025,60,ACC CTRS,ACC-APG,PEO IEWS,ACC OSBP - APG,https://osbp.apg.army.mil
PANDTA-25-P-0000 000568,,CRS(I) Software Sustainment Contract,,,$10M to $25M,H270,,,,,,,,12/19/2025,60,ACC CTRS,ACC-DTA,PEO CS AND CSS,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
PANRSA-25-P-0000 005048,,FCR PPSS Deob CLIN 4004AA Qatar,,,$25K to $250K,N/A,,,,,,,,12/11/2024,12,ACC CTRS,ACC-RSA,PEO AVIATION,ACC OSBP - AMCOM,https://www.amcom.army.mil/
PANAPG-25-P-0000 002759,,CISCO AMP Firepower ,,,< $25K,7A21,,,,,,,,9/23/2025,12,ACC CTRS,ACC-APG,"HQ, DA",ACC OSBP - APG,https://osbp.apg.army.mil
W912CH-25-F-0081,,T2HC -  DO for Repair Parts ,,,< $25K,N/A,,,DO,,Firm Fixed Price,,,12/2/2024,TBD,ACC CTRS,ACC-DTA,PEO CS AND CSS,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
W912CH-24-R-0207,,"EH4L0295EH 016698719 PIN,STRAIGHT,HEADED",,,$250K to $1M,5315,,,CONTR,,Firm Fixed Price,12/30/2024,1/30/2025,1/13/2025,TBD,ACC CTRS,ACC-DTA,AMC: TACOM,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
W519TC-25-R-SUST,,CDAO - DRAID ORDER - MA - APT EA SUSTAINMENT,,,$25M to $50M,UNKNOWN,,,BPA,,Order Dependent,1/21/2025,1/28/2025,2/14/2025,12,ACC CTRS,ACC-RI,CDAO,ACC OSBP - RI,USARMY.RIA.ASC.LIST.SB@ARMY.MIL
PANDTA-24-P-0000 005578,,W16H1F4074001X VLM - EXT. WARRANTY AGREEMENT #1006,,,< $25K,N/A,,,CONTR,,Firm Fixed Price,,,12/13/2024,3,ACC CTRS,ACC-DTA,AMC: TACOM,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
W519TC-25-R-IA02,,IAAAP - Roundhouse Roof Truss Repair-Strengthening,No,No,$250K to $1M,M1EA,561210,,DO NEG,,Firm Fixed Price,11/21/2024,12/19/2024,11/29/2024,12,ACC CTRS,ACC-RI,JPEO AA,ACC OSBP - RI,USARMY.RIA.ASC.LIST.SB@ARMY.MIL
PANDTA-25-P-0000 004569,,"Coolant, Ecocut ",,,< $25K,2930,,,CONTR,,Firm Fixed Price,12/4/2024,12/11/2024,3/28/2025,3,ACC CTRS,ACC-DTA,AMC: TACOM,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
W91247-25-R-0106,,"FB-10004-23, Construct Bunk House FBNC SURT_O8407",No,No,$1M to $5M,Y1JZ,236220,,CONTR,,Firm Fixed Price,4/4/2025,4/10/2025,11/3/2025,10,MICC,419TH CSB,AMC: IMCOM,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PANDTA-24-P-0000 010878,W15P7T19D0135,CAA Modernization Objective Phase II,,,$25M to $50M,R425,,,DO,,Firm Fixed Price,,,,60,ACC CTRS,ACC-DTA,"HQ, DA",ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
W15QKN-21-D-5008 XXX6,,"Snow - Jane Lew, WV020 (OY3 T/O) DUPLICATE",,,$25K to $250K,S218,,,DO,,Firm Fixed Price,5/30/2025,,,12,ACC CTRS,ACC-NJ,USARC,ACC OSBP - NJ,usarmy.pica.acc.mbx.acc-nj-sbo@army.mil
W91QV1-25-F-9904,,BASOPS_PS-23005-3J_Handicap Release for the back ,,,< $25K,M1AZ,,,DO,,Firm Fixed Price,11/25/2024,,12/6/2024,4,MICC,FDO FSH,AMC: IMCOM,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
W15QKN-25-Q-A006,,"Custodial - Kingwood, WV022",No,No,$25K to $250K,S201,561720,,PO,,Firm Fixed Price,11/19/2024,12/3/2024,1/22/2025,12,ACC CTRS,ACC-NJ,USARC,ACC OSBP - NJ,usarmy.pica.acc.mbx.acc-nj-sbo@army.mil
PANMCC-24-P-0000 011936,W911S019D0002,AJSTS New Award FY25-29,,,$5M to $10M,R499,,,CONTR,IDC,Firm Fixed Price,2/4/2025,3/11/2025,7/18/2025,60,MICC,FDO EUSTIS,TRADOC,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
W911W4-08-D-0013 0001,,OBERON,,,≥ $250M,N/A,,,DO NEG,,Cost Plus Fixed Fee,,,,60,ACC CTRS,ACC-DTA,INSCOM,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
PANROC-24-P-0000 009128,,CDAO - AI TALENT 2.0 - BOA - EUREKAFACTS,,,< $25K,R425,,,BPA,,Order Dependent,10/7/2024,,11/29/2024,48,ACC CTRS,ACC-RI,CDAO,ACC OSBP - RI,USARMY.RIA.ASC.LIST.SB@ARMY.MIL
PANMCC-25-P-0000 000955,,CM-300 and CM-350 Radio Repair,,,$25K to $250K,J059,,,CONTR,,Firm Fixed Price,1/21/2025,2/24/2025,12/1/2024,12,MICC,FDO EUSTIS,TRADOC,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PANROC-24-P-0000 009148,,CDAO - AI TALENT 2.0 - BOA - SAVANTX,,,< $25K,R425,,,BPA,,Order Dependent,10/7/2024,,11/29/2024,48,ACC CTRS,ACC-RI,CDAO,ACC OSBP - RI,USARMY.RIA.ASC.LIST.SB@ARMY.MIL
PANAPG-24-P-0000 019601,W52P1J18DA082,Total Ammunition Management Information System ,,,$25M to $50M,DK01,,,CONTR,IDC,Firm Fixed Price,2/28/2025,3/21/2025,5/19/2025,60,ACC CTRS,ACC-APG,"HQ, DA",ACC OSBP - APG,https://osbp.apg.army.mil
PANROC-24-P-0000 006851,,PD BECS PSAP Modernization ,,,$10M to $25M,7K20,,,CONTR,,Cost Plus Fixed Fee,,,2/28/2025,24,ACC CTRS,ACC-APG,PEO C3T,ACC OSBP - APG,https://osbp.apg.army.mil
PANMCC-24-P-0000 014194,W9124D22C0017,12th-Baltimore (Ft Meade_VET)-NM-New (FY 25),,,$250K to $1M,S203,,SMALL BUSINESS SET ASIDE - TOTAL,CONTR,,Firm Fixed Price,2/20/2025,3/27/2025,6/30/2025,12,MICC,FDO FSH,"HQ, DA",ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PAN411-25-P-0000 000761,,SV/Incheon Circuits Lease/PY/cn13syk,,,$25K to $250K,DG10,,,DO NEG,,Firm Fixed Price,11/22/2024,11/29/2024,,60,ACC OO,411TH CSB,USPACOM,ACC OSBP - OO,usarmy.redstone.acc.mbx.acc-sb@army.mil
PAN414-25-P-0000 000295,,Africa Endeavor 2025,,,$25K to $250K,X1AB,,,CONTR,,Firm Fixed Price,4/21/2025,5/19/2025,,1,ACC OO,414TH CSB,USAFRICOM,ACC OSBP - OO,usarmy.redstone.acc.mbx.acc-sb@army.mil
W911SR-25-D-SUPP,,CBRN 2025 Services Contract,,,$50M to $100M,AC13,,,CONTR,,Firm Fixed Price,,,12/28/2024,60,ACC CTRS,ACC-APG,JPEO CBRND,ACC OSBP - APG,https://osbp.apg.army.mil
PANMCC-25-P-0000 005831,,Mod to adjust supplies % PoP ,,,< $25K,7010,,,,,,,,12/6/2024,12,MICC,FDO EUSTIS,TRADOC,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PANMCC-24-P-0000 025512,W911S022P0003,Task Management Tools,,,$5M to $10M,R425,,8(A) SOLE SOURCE ,CONTR,,Firm Fixed Price,8/18/2025,9/2/2025,12/30/2025,60,MICC,FDO EUSTIS,AFC: FCC,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
W912CH-24-R-0074,,ATS Sustainment - IVTS,No,No,$1M to $5M,6920,332994,,CONTR,,Firm Fixed Price,10/30/2024,12/5/2024,,TBD,ACC CTRS,ACC-DTA,AMC: TACOM,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
W15QKN-21-D-5038 XXX8,,"Snow - Smithfield, PA222 (OY3 T/O)",,,$25K to $250K,S218,,,DO,,Firm Fixed Price,10/7/2024,,,12,ACC CTRS,ACC-NJ,USARC,ACC OSBP - NJ,usarmy.pica.acc.mbx.acc-nj-sbo@army.mil
PANROC-24-P-0000 009124,,CDAO - AI TALENT 2.0 - BOA - DXMOD,,,< $25K,R425,,,BPA,,Order Dependent,10/7/2024,,11/29/2024,48,ACC CTRS,ACC-RI,CDAO,ACC OSBP - RI,USARMY.RIA.ASC.LIST.SB@ARMY.MIL
W912CH-24-R-0169,,THOR IV Production,No,No,< $25K,2520,336350,,CONTR,,Firm Fixed Price,,,,TBD,ACC CTRS,ACC-DTA,PEO GCS,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
W911PT-21-F-0588,,NEW BLANCHARD MISC (8 PRs),,,< $25K,3455,,,DO NEG,,Firm Fixed Price,,,,TBD,ACC CTRS,ACC-DTA,AMC: TACOM,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
PANMCC-24-P-0000 018126,,FY25 ANC Gate and Overhead Door Recompete_FY 25,,,$25K to $250K,J035,,,CONTR,,Firm Fixed Price,1/13/2025,1/21/2025,6/2/2025,12,MICC,FDO FSH,ANC,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
W56KGU-25-2-0022,,FY25 APEX Award - Illinois Dept of Comm and Econ,,,< $25K,R499,,,CA,,Cost No Fee,,,,12,ACC CTRS,ACC-APG,OSD,ACC OSBP - APG,https://osbp.apg.army.mil
PANDTA-25-P-0000 000378,,"BRACKET,SPRING",,,$25K to $250K,1015,,,PO,,Firm Fixed Price,11/21/2024,12/20/2024,2/10/2025,4,ACC CTRS,ACC-DTA,AMC: TACOM,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
W912CN-25-F-0005,,DPW Utilities Task Order Hawaii Gas,No,No,$1M to $5M,S111,221210,,DO,,Firm Fixed Price,12/31/2024,,,12,ACC OO,413TH CSB,AMC: IMCOM,ACC OSBP - 413th,usarmy.redstone.acc.mbx.acc-sb@army.mil
W912D2-25-Q-JS07,,Bahrain NTV,,,$25K to $250K,W023,,,CONTR,,Firm Fixed Price,,,12/1/2024,12,ACC OO,408TH CSB,USARCENT,ACC OSBP - OO,usarmy.redstone.acc.mbx.acc-sb@army.mil
W519TC-25-Q-NITR,,Potassium Nitrate ,,,$25K to $250K,1370,,,CONTR,,Firm Fixed Price,11/21/2024,12/20/2024,5/21/2026,3,ACC CTRS,ACC-RI,AMC: JMC,ACC OSBP - RI,USARMY.RIA.ASC.LIST.SB@ARMY.MIL
PANMCC-25-P-0000 008993,,Vehicle Maintenance (5th SFAB FY 25),,,$250K to $1M,J025,,,DO,,Firm Fixed Price,,,11/29/2024,10,MICC,418TH CSB,AMC: ASC,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PANMCC-25-P-0000 000727,,11884961 MI030 CUSTODIAL BASE YR FY23 DEOB,,,< $25K,S201,,,,,,,,3/31/2025,12,MICC,419TH CSB,USARC,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
W9124J-25-F-0003,,TO #5 OCCH EPLS Contract Delivery Order,,,$50M to $100M,R708,,,DO,,Firm Fixed Price,,,12/19/2024,12,MICC,FDO FSH,"HQ, DA",ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
W912CH-25-R-L013,,R/R playground matting DTA CDC,,,$250K to $1M,Y1EZ,,,DO,,Firm Fixed Price,,,1/30/2025,12,ACC CTRS,ACC-DTA,AMC: IMCOM,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
W56KGU-25-2-0020,,FY25 APEX Award - Georgia Tech Research Corp,,,< $25K,R499,,,CA,,Cost No Fee,,,,12,ACC CTRS,ACC-APG,OSD,ACC OSBP - APG,https://osbp.apg.army.mil
PANAPG-25-P-0000 002702,,"PoP extension request 60 days, per CSA guidance.",,,< $25K,7610,,,,,,,,12/1/2024,2,ACC CTRS,ACC-APG,"HQ, DA",ACC OSBP - APG,https://osbp.apg.army.mil
PANMCC-25-P-0000 002351,,IBM SPSS Software and Training for RMID,,,$25K to $250K,7A21,,,CONTR,,Firm Fixed Price,12/2/2024,12/16/2024,1/1/2025,12,MICC,FDO FSH,TRADOC,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PAN410-25-P-0000 000114,, US-BRA CCIB Conference,,,< $25K,R608,,,CONTR,,Firm Fixed Price,11/22/2024,11/29/2024,12/6/2024,1,ACC OO,410TH CSB,USSOUTHCOM,ACC OSBP - OO,usarmy.redstone.acc.mbx.acc-sb@army.mil
W9124D-25-R-0015,W9124D24F0088,8th-Louisville-AMS-New,No,No,$1M to $5M,R408,561110,,DO NEG,,Firm Fixed Price,11/6/2024,12/6/2024,12/30/2025,12,MICC,FDO FSH,"HQ, DA",ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
W911SG-25-F-0008,,FORT BLISS BASE LAUNDRY SUPPORT,,,< $25K,N/A,,,DO,,Firm Fixed Price,,,1/2/2025,12,MICC,418TH CSB,AMC: ASC,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PAN413-25-P-0000 000345,,JPMRC DTA Latrine Contracts 1/11 - Bulk,,,$25K to $250K,W085,,,DO,,Firm Fixed Price,,,12/18/2024,1,ACC OO,413TH CSB,USARPAC,ACC OSBP - 413th,usarmy.redstone.acc.mbx.acc-sb@army.mil
PANMCC-25-P-0000 002616,,de-obligation RTOP 24-030,,,< $25K,N/A,,,,,,,,11/29/2024,1,MICC,FDO EUSTIS,TRADOC,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PANNWJ-22-P-0000 005415,,Demo/Reconstruction of Auto Tactical Vehicle Wash ,,,$1M to $5M,N/A,,,CONTR,,Firm Fixed Price,,,,72,ACC CTRS,ACC-NJ,AMC: IMCOM,ACC OSBP - NJ,usarmy.pica.acc.mbx.acc-nj-sbo@army.mil
PANORL-24-P-0000 001644,,FMT PL MAC ID/IQ,Yes,No,≥ $250M,6910,333310,,CONTR,,Firm Fixed Price,,,8/1/2025,84,ACC CTRS,ACC-ORL,PEO STRI,ACC OSBP - ORL,usarmy.orlando.peo-stri.list.office-of-small-business-programs@army.mil
PANAFG-24-P-0000 000003,,W91B4N20P5031-Transfer of Assets to Diff Bank Acco,,,$25K to $250K,UNKNOWN,,,PO,,Firm Fixed Price,9/30/2025,9/30/2025,,TBD,ACC OO,408TH CSB,USARCENT,ACC OSBP - OO,usarmy.redstone.acc.mbx.acc-sb@army.mil
W9124D-25-Q-0020,W9124D22D0003,11th-Kansas City-NM-Follow-On (FY 25),No,No,$250K to $1M,8970,311999,SMALL BUSINESS SET ASIDE - TOTAL,CONTR,,Firm Fixed Price,11/29/2024,12/30/2024,1/31/2025,12,MICC,FDO FSH,"HQ, DA",ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PAN414-25-P-0000 000025,,LIV - Rental of Vertical Lifter,,,$25K to $250K,W099,,,PO,,Firm Fixed Price,,,3/29/2025,60,ACC OO,414TH CSB,AMC: ASC,ACC OSBP - OO,usarmy.redstone.acc.mbx.acc-sb@army.mil
W911QX-25-Q-0024,,FY25 ARL Dell Hardware Maintenance Subscription,No,No,$25K to $250K,7B22,513210,,DO NEG,,Firm Fixed Price,12/12/2024,12/23/2024,12/27/2024,12,ACC CTRS,ACC-APG,AFC: CCDC,ACC OSBP - APG,https://osbp.apg.army.mil
PANMCC-25-P-0000 009131,,11906310 IL011 CUSTODIAL OPT 2 FY23 DEOB,,,< $25K,S201,,,,,,,,3/31/2025,12,MICC,419TH CSB,USARC,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PANDTA-25-P-0000 000458,,DES Fire extiguisher service and maintenance ,,,$25K to $250K,UNKNOWN,,,,,,,,12/31/2024,60,ACC CTRS,ACC-DTA,AMC: TACOM,ACC OSBP - DTA,usarmy.detroit.tacom.mbx.lcmc-osbp@army.mil
W58RGZ-25-B-0010,,PRID AB896-1  IDIQ  NIIN: 01-684-6267,,,$1M to $5M,UNKNOWN,,,CONTR,,Firm Fixed Price,11/25/2024,12/6/2024,5/30/2025,60,ACC CTRS,ACC-RSA,AMC: AMCOM,ACC OSBP - AMCOM,https://www.amcom.army.mil/
PANMCC-25-P-0000 006501,,JOC Time Extension B-465 Emerg. Lighting,,,< $25K,Z2JZ,,,DO,,Firm Fixed Price,,,1/22/2025,3,MICC,FDO EUSTIS,AMC: IMCOM,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PANROC-24-P-0000 008863,W52P1J20F0355,Follow-on to W52P1J20F0355,,,$1M to $5M,R425,,,DO NEG,,Firm Fixed Price,3/3/2025,,5/16/2025,12,ACC CTRS,ACC-RI,"HQ, AMC",ACC OSBP - RI,USARMY.RIA.ASC.LIST.SB@ARMY.MIL
PANMCC-24-P-0000 010497,,DLI-Washington (Recompete) Foreign Language Trng,No,No,$100M to $250M,U099,611630,,CONTR,,Time and Materials,11/27/2024,12/19/2024,3/31/2025,66,MICC,FDO EUSTIS,TRADOC,ACC OSBP - MICC,https://www.army.mil/MICC#org-small-business
PAN413-25-P-0000 000745,W912D020D0003,SVC Appliance maintenance,,,$1M to $5M,J072,,SMALL BUSINESS SET ASIDE - TOTAL,,,,,,1/1/2025,60,ACC OO,413TH CSB,AMC: IMCOM,ACC OSBP - 413th,usarmy.redstone.acc.mbx.acc-sb@army.mil
